image_fn,label_fn
./dataset/Shanghai-center-train/image_tiles\yangpu_24000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_24000_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_24000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_24000_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_24000_25215.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_24000_25215.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_24000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_24000_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_30000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_30000_0.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_30000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_30000_12000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_30000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_30000_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_30000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_30000_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_30000_25215.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_30000_25215.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_30000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_30000_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_36000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_36000_12000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_36000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_36000_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_36000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_36000_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_36000_25215.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_36000_25215.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_36000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_36000_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_37280_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_37280_12000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_37280_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_37280_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_37280_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_37280_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_37280_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_37280_6000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_6000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_6000_0.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_6000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_6000_12000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_6000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_6000_18000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_6000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_6000_24000.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_6000_25215.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_6000_25215.tif
./dataset/Shanghai-center-train/image_tiles\yangpu_6000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_yangpu_6000_6000.tif
